facility,floor,floor_indicator,distance,area,height,m3,volume,month,season,tem,rh,pre,d2,d3,d4,d5,d6,pm10,pm25,pm1,co25,co10,co2,DI,pre.1,d2.1,d3.1,d4.1,d5.1,d6.1,pm10.1,pm25.1,pm1.1,co25.1,co10.1,co2.1,SPI,logf
7,1,1,0.5,19,2.8,51.8,0,6,1,23.03,58.5,31.3,31.3,31.3,31.3,31.5,48.5,5.54,2.24,1.45,0.79,3.3,2449.4,69.9266245,1.509202522,1.509202522,1.509202522,1.509202522,1.511883361,1.694605199,0.815577748,0.51054501,0.389166084,0.252853031,0.633468456,3.389236984,1,5.296474708
7,1,1,0.5,19,2.8,51.8,0,6,1,23.76,54.1,0.8,32.1,32.1,32.1,32.1,32.3,15.6,13.4,12.1,1.3,2.2,2524.9,70.5349184,0.255272505,1.519827994,1.519827994,1.519827994,1.519827994,1.522444234,1.220108088,1.158362492,1.117271296,0.361727836,0.505149978,3.402416153,1,5.860077823
7,1,1,0.5,19,2.8,51.8,0,6,1,23.59,59.7,0,0.8,32.1,32.1,32.1,32.1,19.8,11.6,10,1.6,8.2,1029.7,70.8131977,0,0.255272505,1.519827994,1.519827994,1.519827994,1.519827994,1.318063335,1.100370545,1.041392685,0.414973348,0.963787827,3.013132276,1,6.025492529
7,1,1,0.5,19,2.8,51.8,0,6,1,24,54.7,58.6,58.6,59.4,90.7,90.7,90.7,9.77,4.09,3.22,0.86,5.68,2403.5,70.91462,1.77524626,1.77524626,1.781036939,1.962369336,1.962369336,1.962369336,1.032215703,0.706717782,0.625312451,0.269512944,0.824776462,3.381024781,1,6.307286982
7,1,1,0.5,19,2.8,51.8,0,6,1,23.3,64.1,1.2,59.8,59.8,60.6,91.9,91.9,22.05,13.53,11.41,2.12,8.52,1267.3,70.792647,0.342422681,1.783903579,1.783903579,1.789580712,1.968015714,1.968015714,1.36267093,1.162265614,1.093771781,0.494154594,0.978636948,3.103221992,1,7.275772663
7,1,1,0.5,19,2.8,51.8,0,7,1,24.65,67.9,0,0,0,1.2,59.8,59.8,19.11,14.99,13.88,1.11,4.12,1000,73.1267765,0,0,0,0.342422681,1.783903579,1.783903579,1.303412071,1.203848464,1.172602931,0.324282455,0.709269961,3.000434077,1,5.645680113
6,1,1,8.5,53,2.5,132,0,4,1,20.9,55.1,0,1,1,1,2.5,2.5,40.8,17.17,12.6,4.57,23.63,829.0372222,66.750441,0,0.301029996,0.301029996,0.301029996,0.544068044,0.544068044,1.621176282,1.259354927,1.133538908,0.745855195,1.391464412,2.919097568,0,6.076490029
6,3,1,1,46,2.5,117,0,4,1,23.6,48.5,0,1,1,1,2.5,2.5,10.42,10.31,9.88,0.43,46.57,883,69.81204,0,0.301029996,0.301029996,0.301029996,0.544068044,0.544068044,1.057666104,1.053462605,1.036628895,0.155336037,1.677333151,2.946452265,0,6.079467582
6,1,1,8.5,53,2.5,132,0,4,1,20.8,67.4,0,0,1,1,1,2.5,46.36,23.43,17.45,5.98,22.94,829.0372222,67.388808,0,0,0.301029996,0.301029996,0.301029996,0.544068044,1.675411694,1.387923467,1.26599637,0.843855423,1.379124146,2.919097568,0,5.515064927
6,3,1,1,46,2.5,117,0,4,1,23.9,60.5,0,0,1,1,1,2.5,14.48,14.21,13.31,0.9,0.28,1004,71.322405,0,0,0.301029996,0.301029996,0.301029996,0.544068044,1.189770956,1.182129214,1.155639634,0.278753601,0.10720997,3.002166062,0,5.397614647
6,4,1,10,100,2.8,278,0,4,1,26.7,46.3,0,0,0,1,1,1,26.54210526,19.20263158,16.17536777,3.373947368,7.720350877,829.0372222,73.544579,0,0,0,0.301029996,0.301029996,0.301029996,1.439997134,1.305407944,1.234906045,0.640873553,0.94053396,2.919097568,0,4.973748608
6,1,1,8.5,53,2.5,132,0,4,1,20.7,52.8,0,0,0,1,1,1,32.04,21.55,17.4,4.15,10.49,829.0372222,66.336904,0,0,0,0.301029996,0.301029996,0.301029996,1.519040039,1.353146546,1.264817823,0.711807229,1.060320029,2.919097568,0,5.41574926
6,3,1,1,46,2.5,117,0,4,1,23,51.2,0,0,0,1,1,1,10.83,10.78,10.24,0.55,0.05,618,69.26664,0,0,0,0.301029996,0.301029996,0.301029996,1.072984745,1.07114529,1.050766311,0.190331698,0.021189299,2.791690649,0,5.112848636
6,4,1,10,100,2.8,278,0,4,1,27.2,30.8,0,0,0,0,0,0,26.54210526,19.20263158,16.17536777,3.373947368,7.720350877,728,72.221424,0,0,0,0,0,0,1.439997134,1.305407944,1.234906045,0.640873553,0.94053396,2.862727528,0,5.575122456
6,1,1,8.5,53,2.5,132,0,4,1,21.5,38.4,0,0,0,0,0,0,32.6,12.9,9.15,3.75,19.71,829.0372222,66.39724,0,0,0,0,0,0,1.526339277,1.1430148,1.006466042,0.67669361,1.316180099,2.919097568,0,5.655686767
6,3,1,1,46,2.5,117,0,4,1,24.3,39.3,0,0,0,0,0,0,6.21,6.21,5.93,0.28,0,1166,69.817501,0,0,0,0,0,0,0.857935265,0.857935265,0.840733235,0.10720997,0,3.067070856,0,5.677461837
6,1,1,8.5,53,2.5,132,0,4,1,19,43,0.5,1,1,1,1,1,39.08,17.03,13.28,3.75,22.05,829.0372222,63.6293,0.176091259,0.301029996,0.301029996,0.301029996,0.301029996,0.301029996,1.602927713,1.255995727,1.154728207,0.67669361,1.36267093,2.919097568,0,5.448528966
6,3,1,1,46,2.5,117,0,4,1,22.3,42.7,0.5,1,1,1,1,1,7.75,7.75,7.47,0.28,0,1102,67.683779,0.176091259,0.301029996,0.301029996,0.301029996,0.301029996,0.301029996,0.942008053,0.942008053,0.92788341,0.10720997,0,3.042575512,0,5.297436415
6,4,1,10,100,2.8,278,0,10,1,25.66,39,0,0,9,9,9,9,26.54210526,19.20263158,16.17536777,3.373947368,7.720350877,829.0372222,71.414926,0,0,1,1,1,1,1.439997134,1.305407944,1.234906045,0.640873553,0.94053396,2.919097568,0,5.989185156
6,1,1,8.5,53,2.5,132,0,10,1,20.91,50.26,0,0,9,9,9,9,42.97,18.6,14.13,4.47,24.37,783.19,66.45419234,0,0,1,1,1,1,1.643156466,1.292256071,1.179838928,0.737987326,1.404320467,2.8944213,0,6.235492495
6,3,1,1,46,2.5,117,0,10,1,23.1,52.6,0,0,9,9,9,9,48.07,12.06,7.85,4.2,36.01,829.0372222,69.518294,0,0,1,1,1,1,1.690816058,1.115943177,0.946943271,0.716003344,1.568319085,2.919097568,0,5.952697204
6,4,1,10,100,2.8,278,0,10,1,23.3,43,0,0,0,9,9,9,36,15,12.4428,15,21,829.0372222,68.94281,0,0,0,1,1,1,1.568201724,1.204119983,1.128489737,1.204119983,1.342422681,2.919097568,0,5.847372512
6,1,1,8.5,53,2.5,132,0,10,1,21.41,51.62,0,0,0,9,9,9,66.86,19.18,12.52,6.67,47.68,1302.44,67.20176358,0,0,0,1,1,1,1.831613855,1.304921162,1.130976692,0.884795364,1.68735057,3.115091045,0,6.459154042
6,3,1,1,46,2.5,117,0,10,1,22.1,49.3,0,0,0,9,9,9,13.19,7.55,5.826455,7.55,5.64,1544.9,67.937447,0,0,0,1,1,1,1.151982395,0.931966115,0.834195232,0.931966115,0.822168079,3.189181397,0,6.110256495
6,1,1,8.5,53,2.5,132,0,10,1,20.56,58.53,0,0,0,0,9,9,59.39,32.36,27.2,5.16,27.03,791.06,66.49724032,0,0,0,0,1,1,1.78096503,1.523226042,1.450249108,0.789580712,1.447623098,2.898758081,0,6.458594785
6,3,1,1,46,2.5,117,0,10,1,24.1,51.3,0,0,0,0,9,9,18.65,11.96,9.742976,11.96,6.7,1491.17,70.724767,0,0,0,0,1,1,1.293362555,1.112605002,1.031124606,1.112605002,0.886490725,3.173818304,0,6.220438304
6,1,1,8.5,53,2.5,132,0,10,1,21.04,75.81,20,20,20,20,20,29,51.83,27.04,22.7,4.34,24.79,828.43,68.29248976,1.322219295,1.322219295,1.322219295,1.322219295,1.322219295,1.477121255,1.722880611,1.447778009,1.374748346,0.727541257,1.411451342,2.918779739,0,6.820923007
6,3,1,1,46,2.5,117,0,10,1,23,65.7,20,20,20,20,20,29,16.36,9.5,7.55825,9.5,6.86,1452.75,70.49479,1.322219295,1.322219295,1.322219295,1.322219295,1.322219295,1.477121255,1.239549721,1.021189299,0.932384969,1.021189299,0.895422546,3.162489728,0,6.34966885
6,1,1,8.5,53,2.5,132,0,10,1,20.61,39.94,0,20,20,20,20,20,14.47,5.95,4.15,1.81,8.52,459.29,65.43199766,0,1.322219295,1.322219295,1.322219295,1.322219295,1.322219295,1.189490314,0.841984805,0.711807229,0.44870632,0.978636948,2.66303154,0,5.941052023
6,3,1,1,46,2.5,117,0,10,1,21.2,39.8,0,20,20,20,20,20,7.35,5.45,3.961445,5.45,1.9,679.63,66.133824,0,1.322219295,1.322219295,1.322219295,1.322219295,1.322219295,0.921686475,0.809559715,0.695608181,0.809559715,0.462397998,2.832911087,0,5.873469219
6,2,1,3,54,3.4,186,0,4,1,23.3,53.2,28.5,37.5,37.5,37.5,37.5,37.5,6.33,6.28,6.03,0.25,0.05,877,69.837044,1.469822016,1.58546073,1.58546073,1.58546073,1.58546073,1.58546073,0.865103975,0.862131379,0.846955325,0.096910013,0.021189299,2.943494516,0,6.119740532
6,2,1,3,54,3.4,186,0,4,1,22,50.1,5,33.5,42.5,42.5,42.5,42.5,46.04,45.21,41.93,3.28,0.83,1301,67.86748,0.77815125,1.537819095,1.638489257,1.638489257,1.638489257,1.638489257,1.672467313,1.664735969,1.632760888,0.631443769,0.26245109,3.114610984,0,5.170217689
6,2,1,3,54,3.4,186,0,4,1,22,50.1,0,0,5,33.5,42.5,42.5,46.04,45.21,41.93,3.28,0.83,1301,67.86748,0,0,0.77815125,1.537819095,1.638489257,1.638489257,1.672467313,1.664735969,1.632760888,0.631443769,0.26245109,3.114610984,0,6.439813602
6,2,1,3,54,3.4,186,0,4,1,22.2,34.2,0,5,33.5,42.5,42.5,42.5,18.37,18.2,17.24,0.97,0.16,629,66.907876,0,0.77815125,1.537819095,1.638489257,1.638489257,1.638489257,1.287129621,1.283301229,1.261024834,0.294466226,0.064457989,2.799340549,0,5.151695666
6,2,1,3,54,3.4,186,0,4,1,22.2,34.2,0,0,0,5,33.5,42.5,18.37,18.2,17.24,0.97,0.16,629,66.907876,0,0,0,0.77815125,1.537819095,1.638489257,1.287129621,1.283301229,1.261024834,0.294466226,0.064457989,2.799340549,0,5.806865377
6,2,1,3,54,3.4,186,0,4,1,23.68,28.8,0,0,0,0,0,3.6,106.88,34.39,6.17,28.21,72.49,1010,68.1140416,0,0,0,0,0,0.662757832,2.032940938,1.548880563,0.855519156,1.465531557,1.866228247,3.004751156,0,5.148249393
6,2,1,3,54,3.4,186,0,4,1,22.25,34.9,0,0,0,0,0,0,56.88,20.58,4.94,15.64,36.3,1553,67.0193975,0,0,0,0,0,0,1.762528522,1.33405144,0.773786445,1.221153322,1.571708832,3.191451014,0,3.875326658
6,2,1,3,54,3.4,186,0,10,1,22.8,48.2,0,0,3.5,3.5,24.5,24.5,33.73,22.25,18.93,3.32,11.48,553.27,68.755104,0,0,0.653212514,0.653212514,1.40654018,1.40654018,1.540704783,1.366422957,1.299507299,0.635483747,1.096214585,2.743721373,0,5.130973792
6,2,1,3,54,3.4,186,0,10,1,21.5,56,0,0,0,3.5,3.5,24.5,44.85,32.5,29.43,3.07,12.35,634.53,67.6266,0,0,0,0.653212514,0.653212514,1.40654018,1.66133934,1.525044807,1.483301952,0.609594409,1.125481266,2.803136056,0,5.079719176
6,2,1,3,54,3.4,186,0,10,1,23.7,53.2,0,0,0,0,3.5,3.5,44.76,31.96,28.61,3.36,12.8,654.23,70.371716,0,0,0,0,0.653212514,0.653212514,1.660486016,1.517987203,1.471438407,0.639486489,1.139879086,2.816393774,0,5.340280871
6,2,1,3,54,3.4,186,0,10,1,23.4,60,0,0,0,0,0,3.5,64.87,52.09,47.71,4.38,12.78,555.47,70.5736,0,0,0,0,0,0.653212514,1.818687663,1.725012725,1.68761813,0.730782276,1.139249218,2.745441756,0,5.434792879
6,2,1,3,54,3.4,186,0,10,1,22.3,48.5,0,0,0,0,0,0,23.98,17.29,14.32,2.97,6.69,475.86,68.134845,0,0,0,0,0,0,1.397592434,1.262213705,1.185258765,0.598790507,0.88592634,2.678390894,0,5.583885387
3,-4,0,3.5,2744,4.5,12348,2,8,1,28,68,3.5,3.5,3.5,3.5,3.5,3.5,35.9,23.78,15.33,8.46,7.96,440,78.1056,0.653212514,0.653212514,0.653212514,0.653212514,0.653212514,0.653212514,1.567026366,1.394101302,1.212986185,0.975891136,0.95230801,2.644438589,1,3.661812686
3,-4,0,3.5,2744,4.5,12348,2,8,1,28,62,0,0,0,0,0,0,38.27,23.63,14.33,9.3,15.71,502,77.3004,0,0,0,0,0,0,1.594060901,1.391464412,1.185542155,1.012837225,1.22297645,2.701567985,1,4.21077318
3,-4,0,3.5,2744,4.5,12348,2,8,1,28,63,0,0,0,0,0,0,36.27,29.77,24.25,5.51,6.58,543,77.4346,0,0,0,0,0,0,1.571359393,1.488127496,1.402261382,0.813580989,0.879669206,2.7355989,1,4.193820026
3,-4,0,3.5,2744,4.5,12348,2,12,0,17.7,39,0.1,0.1,0.1,0.1,2.2,2.4,30.08,26.8,23.85,2.95,3.28,551,61.89397,0.041392685,0.041392685,0.041392685,0.041392685,0.505149978,0.531478917,1.49248101,1.444044796,1.395326393,0.596597096,0.631443769,2.741939078,0,3.505963518
3,-4,0,3.5,2744,4.5,12348,2,12,0,20.3,33,0.4,0.4,0.4,0.4,0.4,2.5,15.2,13.27,11.4,1.87,1.93,524,64.65601,0.146128036,0.146128036,0.146128036,0.146128036,0.146128036,0.544068044,1.209515015,1.154423973,1.093421685,0.457881897,0.46686762,2.720159303,0,4.178919421
3,-4,0,3.5,2744,4.5,12348,2,12,0,20.3,33,0,0,0,0,0,0,17.66,14.88,12.69,2.19,2.78,512,64.65601,0,0,0,0,0,0,1.270911639,1.200850498,1.136403448,0.503790683,0.5774918,2.710117365,0,3.750662646
4,1,1,20.2,9790,8,78321,2,8,1,25,54,1.5,1.5,1.5,1.5,1.5,1.5,4.89,4.3,3.84,0.46,0.58,741,72.193,0.397940009,0.397940009,0.397940009,0.397940009,0.397940009,0.397940009,0.770115295,0.72427587,0.684845362,0.164352856,0.198657087,2.870403905,1,4.86799751
4,1,1,20.2,9790,8,78321,2,8,1,25,58,31.1,32.6,32.6,32.6,32.6,32.6,3.87,3.41,3,0.41,0.46,791,72.611,1.506505032,1.526339277,1.526339277,1.526339277,1.526339277,1.526339277,0.687528961,0.644438589,0.602059991,0.149219113,0.164352856,2.898725182,1,4.688099323
4,1,1,20.2,9790,8,78321,2,8,1,24.1,49,0,31.1,31.1,31.1,31.1,31.1,4.06,3.55,3.14,0.42,0.5,732,70.50491,0,1.506505032,1.506505032,1.506505032,1.506505032,1.506505032,0.704150517,0.658011397,0.617000341,0.152288344,0.176091259,2.865103975,1,5.053596981
4,1,1,20.2,9790,8,78321,2,12,0,17,34,0,0,0,0,0.7,0.7,22.59,18.52,15.92,2.6,4.07,545,60.9302,0,0,0,0,0.230448921,0.230448921,1.372727941,1.290479813,1.228400359,0.556302501,0.705007959,2.737192643,0,3.43806745
4,1,1,20.2,9790,8,78321,2,12,0,16.8,44,0,1.6,1.6,1.6,1.6,2.3,48.69,45.16,40.32,4.84,3.53,547,60.93408,0,0.414973348,0.414973348,0.414973348,0.414973348,0.51851394,1.696268997,1.6642658,1.616160313,0.766412847,0.656098202,2.738780558,0,3.921998431
4,1,1,20.2,9790,8,78321,2,12,0,16.1,46,0,3.4,5,5,5,5,52.5,47.17,41.96,5.21,5.32,586,60.09494,0,0.643452676,0.77815125,0.77815125,0.77815125,0.77815125,1.728353782,1.682776646,1.633064273,0.7930916,0.800717078,2.768638101,0,3.281033367
6,1,1,11.7,27,2.6,70,0,1,0,11,28,0,0.3,0.3,0.3,0.3,0.3,27.09,22.98,20.26,2.72,4.11,542,54.2552,0,0.113943352,0.113943352,0.113943352,0.113943352,0.113943352,1.448551739,1.379849179,1.32756326,0.57054294,0.7084209,2.73479983,0,3.668851648
6,1,1,11.7,27,2.6,70,0,1,0,13,32,2.2,2.2,2.5,2.5,2.5,2.5,37.89,34.85,32.33,2.52,3.04,556,56.3724,0.505149978,0.505149978,0.544068044,0.544068044,0.544068044,0.544068044,1.589837943,1.55448916,1.522835314,0.546542663,0.606381365,2.745855195,0,4.051499819
6,1,1,11.7,27,2.6,70,0,1,0,13.5,23,0,2.2,2.2,2.5,2.5,2.5,33.98,30.86,28.48,2.38,3.12,527,57.01995,0,0.505149978,0.505149978,0.544068044,0.544068044,0.544068044,1.543819805,1.503245771,1.469527479,0.5289167,0.614897216,2.722633923,0,3.427648371
6,1,1,11.7,27,2.6,70,0,6,1,28.3,53.2,6.3,6.7,6.7,7,7,7,26.92,18.27,15.01,3.25,8.65,596,76.520444,0.86332286,0.886490725,0.886490725,0.903089987,0.903089987,0.903089987,1.445915414,1.284881715,1.204391332,0.62838893,0.984527313,2.775974331,1,4.802322098
6,1,1,11.7,27,2.6,70,0,6,1,27.2,68,0.2,0.2,0.6,0.6,0.9,0.9,39.49,30.36,24.18,6.18,9.13,493,76.91904,0.079181246,0.079181246,0.204119983,0.204119983,0.278753601,0.278753601,1.607347777,1.496376054,1.401055726,0.856124444,1.005609445,2.693726949,1,5.932478838
6,1,1,11.7,27,2.6,70,0,6,1,27.1,63.5,0,140.5,140.5,140.9,140.9,141.2,22.6,16.92,14.08,2.83,5.68,464,76.206915,0,2.15075644,2.15075644,2.151982395,2.151982395,2.152899596,1.372912003,1.253338005,1.178401342,0.583198774,0.824776462,2.667452953,1,6.033033922
6,1,1,10,44,2.6,115,0,1,0,19,54,0,0,0,0,0,0.6,16.69,11.35,8.91,2.44,5.34,907,64.1254,0,0,0,0,0,0.204119983,1.247727833,1.091666958,0.996073654,0.536558443,0.802089258,2.958085849,0,3.312388949
6,1,1,10,44,2.6,115,0,1,0,22.3,38,0.8,0.8,0.8,0.8,0.8,0.8,24.32,17.82,14.16,3.66,6.5,972,67.31826,0.255272505,0.255272505,0.255272505,0.255272505,0.255272505,0.255272505,1.403463701,1.274619619,1.180699201,0.668385917,0.875061263,2.98811284,0,4.0801212
6,1,1,10,44,2.6,115,0,1,0,22.5,42.5,0,0.8,0.8,0.8,0.8,0.8,29.23,21.02,15.98,5.04,8.21,1186,67.914375,0,0.255272505,0.255272505,0.255272505,0.255272505,0.255272505,1.480438147,1.342817315,1.229937686,0.781036939,0.96425963,3.074450719,0,4.077694866
6,1,1,10,44,2.6,115,0,8,1,22.3,71.6,55.5,60.5,97.8,131.6,131.6,131.6,25.1,14.53,11.48,3.05,10.57,1738,69.931332,1.752048448,1.788875116,1.994756945,2.122543524,2.122543524,2.122543524,1.416640507,1.191171456,1.096214585,0.607455023,1.063333359,3.240299582,1,5.22133598
6,1,1,10,44,2.6,115,0,8,1,22.1,70.8,0,55.5,60.5,97.8,131.6,131.6,18.62,9.47,7,2.47,9.15,1074,69.566932,0,1.752048448,1.788875116,1.994756945,2.122543524,2.122543524,1.292699003,1.019946682,0.903089987,0.540329475,1.006466042,3.031408464,1,4.997076063
6,1,1,10,44,2.6,115,0,8,1,24.2,61.5,0.4,0.4,55.9,60.9,98.2,132,22.61,7.56,4.06,3.5,15.05,1214,71.84167,0.146128036,0.146128036,1.755112266,1.791690649,1.996511672,2.123851641,1.373095987,0.932473765,0.704150517,0.653212514,1.205475037,3.084576278,1,5.498710197
1,-1,0,5,1515,3,4545,1,1,0,2,10,0,0.5,1,1,1,1,20.13,14,11.9,2.1,6.13,440,46.688,0,0.176091259,0.301029996,0.301029996,0.301029996,0.301029996,1.324899497,1.176091259,1.11058971,0.491361694,0.85308953,2.644438589,0,2.802089258
1,-1,0,5,1515,3,4545,1,1,0,2.7,10,0,0,0.5,1,1,1,22.62,15.17,12.41,2.76,7.45,410,47.3243,0,0,0.176091259,0.301029996,0.301029996,0.301029996,1.373279893,1.20871002,1.127428778,0.575187845,0.926856709,2.613841822,0,2.784617293
1,-1,0,5,1515,3,4545,1,7,1,29.3,63.2,0,0,0,0.4,26.1,26.2,34.29,21.06,16.91,4.15,13.23,754,79.327824,0,0,0,0.146128036,1.432969291,1.434568904,1.547651658,1.343605508,1.253095586,0.711807229,1.1532049,2.877946952,1,5.163450609
1,-1,0,5,1515,3,4545,1,7,1,29.8,59.9,0.3,0.3,0.3,0.3,0.7,26.4,33.17,20.56,16.87,3.69,12.61,510,79.543998,0.113943352,0.113943352,0.113943352,0.113943352,0.230448921,1.437750563,1.533644979,1.333648757,1.252124553,0.671172843,1.133858125,2.7084209,1,4.644113486
2,1,1,6,28,2.2,61,0,2,0,20.5,18.4,0,1.7,3.4,3.4,3.4,3.4,7.35,6.99,6.26,0.73,0.36,1226,64.00808,0,0.431363764,0.643452676,0.643452676,0.643452676,0.643452676,0.921686475,0.902546779,0.860936621,0.238046103,0.133538908,3.088844563,0,3.303196057
2,1,1,6,28,2.2,61,0,2,0,21.1,33.3,1.2,28.9,29.1,29.1,30.8,32.5,19.8,19.04,18.01,1.02,0.76,1165,65.585137,0.342422681,1.475671188,1.478566496,1.478566496,1.50242712,1.525044807,1.318063335,1.301897717,1.278982117,0.305351369,0.245512668,3.06669855,0,3.617419747
2,1,1,6,28,2.2,61,0,7,1,24.6,48.5,0.5,3.7,12.6,98.2,127.4,128.2,15.18,13.26,12.29,0.96,1.92,849,71.10219,0.176091259,0.672097858,1.133538908,1.996511672,2.108565024,2.111262514,1.208978517,1.154119526,1.123524981,0.292256071,0.465382851,2.929418926,1,3.324488233
2,1,1,6,28,2.2,61,0,8,1,24.7,48.9,11.1,15.1,49.6,83.7,99.2,111.4,10.05,7.9,6.84,1.06,2.15,1529,71.271817,1.08278537,1.206825876,1.704150517,1.92788341,2.000867722,2.050766311,1.043362278,0.949390007,0.894316063,0.31386722,0.498310554,3.184691431,1,4.154789029
2,-1,0,0.1,53,2.3,122,0,2,0,15.4,39.8,0,5.5,7,13.1,14.1,15,35.3,31.54,27.23,4.32,3.76,1241,59.150508,0,0.812913357,0.903089987,1.149219113,1.178976947,1.204119983,1.559906625,1.512417549,1.450710878,0.725911632,0.677606953,3.094121596,0,4.013469232
